ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
AS/NZS 2007.2:2003 (Legacy),PARMCO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6W-F1,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,14242,Approved,18.2,Freestanding,False,,,,,Available,,
AS/NZS 2007.2:2005,SAGI,12,319,Single,China,True,580.0,850.0,,SADE12W,AS/NZS 2007.1:2005,2.65,2.5,0.0,0.0,Normal,124.0,New Zealand,1.47,33639,Approved,15.7,Freestanding,False,600.0,,,,Unavailable,,
AS/NZS 2007.2:2005,SAGI,12,319,Single,China,True,580.0,850.0,,SADE12S,AS/NZS 2007.1:2005,2.65,2.5,0.0,0.0,Normal,124.0,New Zealand,1.47,33639,Approved,15.7,Freestanding,False,600.0,,,,Unavailable,,
AS/NZS 2007.2:2005,ARDA,8,244,Single,China,True,580.0,850.0,,RV45DWSS,AS/NZS 2007.1:2005,2.27,2.0,0.0,2.0,Normal,120.0,"Australia,New Zealand",0.0,55493,Superseded,12.12,Freestanding,False,450.0,2016-01-31,2013-10-23,,Unavailable,,http://www.technika.com.au
AS/NZS 2007.2:2005,TRIESTE,8,330,Dual,China,False,580.0,850.0,,TRD-WQP8-9239H,AS/NZS 2007.1:2005,1.4334,1.0,0.0,0.599557,Normal,120.0,New Zealand,0.293659,51266,Approved,13.703,Freestanding,False,450.0,,,,Unavailable,,
AS/NZS 2007.2:2005,TRIESTE,8,330,Dual,China,False,580.0,850.0,,TRD-WQP8-9239H S/S,AS/NZS 2007.1:2005,1.4334,1.0,0.0,0.599557,Normal,120.0,New Zealand,0.293659,51266,Approved,13.703,Freestanding,False,450.0,,,,Unavailable,,
AS/NZS 2007.2:2005,TRIESTE,8,330,Dual,China,False,580.0,850.0,,TRD-WQP8-9239H WH,AS/NZS 2007.1:2005,1.4334,1.0,0.0,0.599557,Normal,120.0,New Zealand,0.293659,51266,Approved,13.703,Freestanding,False,450.0,,,,Unavailable,,
AS/NZS 2007.2:2005,ASKO,14,269,Single,Sweden,True,570.0,860.0,,D5153,AS/NZS 2007.1:2005,3.57,3.5,0.0,0.9,"NORMAL WASH, ECO DRY",98.0,New Zealand,0.1,51166,Approved,13.9,Built-in,False,597.0,,,,Unavailable,,http://www.asko.org.nz
AS/NZS 2007.2:2005,ASKO,14,274,Single,Sweden,True,570.0,860.0,,D5233XXL,AS/NZS 2007.1:2005,3.52,3.5,0.0,1.0,"NORMAL PROGRAME, ECO DRY",100.0,New Zealand,0.1,51164,Approved,13.8,Built-in,False,597.0,,,,Unavailable,,http://www.asko.org.nz
AS/NZS 2007.2:2005,SMEG,14,275,Single,Italy,False,600.0,850.0,,ST8605,AS/NZS 2007.1:2005,3.505,3.5,0.0,1.106,Normal ECO,123.0,New Zealand,0.072,38799,Approved,16.9,Freestanding,False,600.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2007.2:2005,SMEG,14,275,Single,Italy,False,600.0,850.0,,ST663-1,AS/NZS 2007.1:2005,3.505,3.5,0.0,1.106,Normal ECO,123.0,New Zealand,0.072,38799,Approved,16.9,Freestanding,False,600.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2007.2:2005,SMEG,14,275,Single,Italy,False,600.0,850.0,,ST693-1,AS/NZS 2007.1:2005,3.505,3.5,0.0,1.106,Normal ECO,123.0,New Zealand,0.072,38799,Approved,16.9,Freestanding,False,600.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2007.2:2005,SMEG,14,275,Single,Italy,False,600.0,850.0,,SA8605,AS/NZS 2007.1:2005,3.505,3.5,0.0,1.106,Normal ECO,123.0,New Zealand,0.072,38799,Approved,16.9,Freestanding,False,600.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2007.2:2005,SMEG,14,275,Single,Italy,False,600.0,850.0,,SA8605TD,AS/NZS 2007.1:2005,3.505,3.5,0.0,1.106,Normal ECO,123.0,New Zealand,0.072,38799,Approved,16.9,Freestanding,False,600.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2007.2:2005,ASKO,14,269,Single,Sweden,True,570.0,860.0,,D5132XXL,AS/NZS 2007.1:2005,3.56,3.5,0.0,0.9,"NORMAL ECO TEMP, ECO DRY",98.0,New Zealand,0.1,51051,Approved,13.9,Built-in,False,597.0,,,,Unavailable,,http://www.asko.org.nz
