ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model Name,Model No,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,LG,4.5,True,Autosensing,"""Korea, Republic of""",640.0,850.0,,WD14030RD6,AS/NZS 2442.1:1996,220,1.49681452016,1.0,Dry Only; 1400 rpm; Eco dry,268.9,"Australia,New Zealand",Approved,56681,3.608,23.8,Condenser,600.0,2016-04-16,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BEKO,7,False,Autosensing,Turkey,,,Each individual model number listed above,DV 7220 X,AS/NZS 2442.1:1996,305,2.20533827417,2.0,Cottons-Ready to Wear Plus,173.0,"Australia,New Zealand",Approved,60763,5.53,,Vented,,2016-09-05,,Single product class,Unavailable,http://www.beko.com/,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,EURO,5,True,Autosensing,"""Korea, Republic of""",645.0,850.0,,EWD85KFW,AS/NZS 2442.1:1996/Amdt 4:2006,220,2.14511140462,2.0,Cupboard,212.0,"Australia,Fiji,New Zealand",Approved,71942,4.004,44.86,Condenser,600.0,2018-06-02,,Single product class,Unavailable,http://www.euroappliances.com.au/,http://www.euroappliances.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,AEG,8,False,Autosensing,Poland,,,Each individual model number listed above,T76280AC,AS/NZS 2442.1:1996,357,2.05832393792,2.0,Cottons Extra Dry Max Dryness,221.0,"Australia,New Zealand",Approved,60029,6.386,,Condenser,,2016-08-01,,Single product class,Unavailable,,http://www.aeg.com
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SIMPSON,5,False,Autosensing,Thailand,,,Each individual model number listed above,39S505E,AS/NZS 2442.1:1996,224,2.03424120901,2.0,Hot,133.0,"Australia,New Zealand",Approved,59473,3.957,,Vented,,2016-07-25,,Single product class,Unavailable,,http://www.simpson.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SIMPSON,6,False,Timer,Thailand,,,Each individual model number listed above,39S600,AS/NZS 2442.1:1996,279,1.80507299281,1.5,Hot,137.0,"Australia,New Zealand",Approved,59470,4.68,,Vented,,2016-07-25,,Single product class,Unavailable,,http://www.simpson.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SIMPSON,5,False,Timer,"Australia,Thailand",,,Each individual model number listed above,39S500,AS/NZS 2442.1:1996,231,1.84489921198,1.5,Hot,117.0,"Australia,New Zealand",Approved,59469,3.903,,Vented,,2016-07-25,,Single product class,Unavailable,,http://www.simpson.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SIMPSON,4,False,Timer,Thailand,,,Each individual model number listed above,39P400,AS/NZS 2442.1:1996,189,1.70662082237,1.5,Hot,95.0,"Australia,New Zealand",Approved,59467,3.123,,Vented,,2016-07-25,,Single product class,Unavailable,,http://www.simpson.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ARISTON,5.5,True,Autosensing,Italy,,,single,AQXXMD 129,AS/NZS 2442.1:1996,227,2.53883605486,2.5,No 11 Cottons Cupboard dry,240.0,"Australia,New Zealand",Approved,50071,4.395,34.9,Condenser,,2015-05-24,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ARISTON,5.5,True,Autosensing,Italy,,,single,AQM9D 29 U,AS/NZS 2442.1:1996,227,2.53883605486,2.5,No 11 Cottons Cupboard dry,240.0,"Australia,New Zealand",Approved,50071,4.395,34.9,Condenser,,2015-05-24,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,INDESIT,4.5,True,Autosensing,"Italy,Poland",,,Each individual model number listed above,IWDC 7125 B,AS/NZS 2442.1:1996,193,2.3024890213,2.0,Cotton wardrobe (Cupboard) Dry,275.0,"Australia,New Zealand",Approved,45367,3.616,33.05,Condenser,,2014-08-31,,Single product class,Unavailable,,http://www.indesit.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,ASKO,6,False,Autosensing,Sweden,595.0,850.0,Each individual model number listed above,TDC111V,AS/NZS 2442.1:1996,270,2.00683301501,2.0,P3 Auto Normal Dry,112.0,Australia,Approved,56383,4.83,,Vented,595.0,2016-05-03,,Single product class,Unavailable,http://asko.com.au/,http://www.asko.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,MIELE,7,False,Autosensing,Germany,596.0,595.0,Each individual model number listed above,T 8827 WP,AS/NZS 2442.1:1996,156,6.33073936701,6.0,Cottons Normal Plus,158.0,"Australia,New Zealand",Approved,51812,5.503,,Condenser,850.0,2015-07-14,,Single product class,Unavailable,http://www.miele.com.au/,http://www.miele.com.au
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,FISHER & PAYKEL,5,False,Timer,Thailand,,,Each individual model number listed above,DE50F56A*,AS/NZS 2442.1:1996,244,1.5,1.5,Regular,134.0,"Australia,New Zealand",Approved,57340,3.918,,Vented,,2016-07-06,,Single product class,Available,,http://www.fisherpaykel.com
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Coldstream,6,False,Autosensing,China,,,Each individual model number listed above,GDZ60-09E(W),AS/NZS 2442.1:1996,265,2.12184812783,2.0,Extra Dry/Full Load,230.0,Australia,Approved,53577,4.702,,Vented,,2015-11-17,,Single product class,Unavailable,,http://N/A
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,EUROMAID,6,False,Autosensing,Turkey,,,Each individual model number listed above,COND6KG,AS/NZS 2442.1:1996,291,1.54595557504,1.5,Cottons-Ready to Wear,187.0,"Australia,New Zealand",Approved,60780,4.852,,Condenser,,2016-09-05,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,FISHER & PAYKEL,5,False,Autosensing,Thailand,,,Each individual model number listed above,DE50F56E*,AS/NZS 2442.1:1996,217,2.22,2.0,Regular,135.0,"Australia,New Zealand",Approved,57270,3.923,,Vented,,2016-07-06,,Single product class,Available,,http://www.fisherpaykel.com
