Record ID,Status,Brand Name,Model Number,Selling Countries,Manufacturing Countries,Screen Size,Screen Technology,Comparative Energy Consumption,Active Standby Power,Star Rating Index,Star Rating,Product Website,Representative Brand URL
78635,Approved,LG,19MB35PE,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",48.194,LCD (LED),60.0,0.19,5.69965364453,5.5,http://www.lge.com.au/,http://www.lge.com.au/
78636,Approved,LG,22M35DA,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",54.625,LCD (LED),70.0,0.2,5.34305624719,5.0,http://www.lge.com.au/,http://www.lge.com.au/
78634,Approved,LG,19M35DA,"Australia,New Zealand","""Korea, Republic of"",Indonesia,China",47.013,LCD (LED),50.0,0.203,6.02952006705,6.0,http://www.lge.com.au/,http://www.lge.com.au/
78639,Approved,LG,24MB65PYG,"Australia,New Zealand","""Korea, Republic of"",Indonesia,China",61.132,LCD (LED),90.0,0.21,5.0519018811,5.0,http://www.lge.com.au/,http://www.lge.com.au/
78640,Approved,LG,24MP55HA,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",60.468,LCD (LED),100.0,0.21,4.35370578031,4.0,http://www.lge.com.au/,http://www.lge.com.au/
78958,Approved,LG,27MP65HA,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",68.599,LCD,120.0,0.21,4.3464507234,4.0,,
78650,Approved,lenovo,Pro2840mD,"Australia,Fiji,New Zealand",China,74.663,LCD,192.0,0.79,2.83619859459,2.5,,
78663,Approved,LG,23M45HA,"Australia,New Zealand","China,""Korea, Republic of"",Indonesia",59.156,LCD,90.0,0.216,4.76735765131,4.5,,
79130,Approved,SAMSUNG ELECTRONICS,S20D300H,"Australia,Fiji,New Zealand","""Korea, Republic of""",49.371,LCD (LED),59.0,0.25,5.5221705251,5.5,,http://www.samsung.com.au
79556,Approved,PHILIPS,278C5Q,"Australia,Fiji,New Zealand",China,68.599,LCD (LED),106.0,0.3,4.90242599981,4.5,,
79116,Approved,SAMSUNG ELECTRONICS,S24D300H,"Australia,Fiji,New Zealand","""Korea, Republic of""",60.939,LCD (LED),87.0,0.21,5.02730076457,5.0,,http://www.samsung.com.au
79126,Approved,SAMSUNG ELECTRONICS,S27D390H,"Australia,Fiji,New Zealand","""Korea, Republic of""",68.506,LCD (LED),107.0,0.23,4.85233257437,4.5,,http://www.samsung.com.au
78772,Approved,SHARP,LL-S242A-B,"Australia,Fiji,New Zealand",China,59.809,LCD (LED),105.0,1.1,4.06709549711,4.0,,
78772,Approved,SHARP,LL-S242A-W,"Australia,Fiji,New Zealand",China,59.809,LCD (LED),105.0,1.1,4.06709549711,4.0,,
78957,Approved,LG,24M45HA,"Australia,New Zealand","China,""Korea, Republic of"",Indonesia",59.81,LCD,80.0,0.201,5.28565300067,5.0,,
78969,Approved,SHARP,LL-P202V,"Australia,Fiji,New Zealand",China,49.565,LCD (LED),87.0,1.09,3.82618704074,3.5,,
78973,Approved,LG,23MP75HMB,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",58.422,LCD,90.0,0.18,4.61459679684,4.5,,
78968,Approved,LG,20M35DSA,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",49.407,LCD,70.0,0.201,4.73744391236,4.5,,
78972,Approved,LG,29UM65D,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",73.021,LCD,130.0,0.44,3.8170329764,3.5,,
78967,Approved,LG,19MB15TO,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",48.194,LCD,70.0,0.162,5.00883968679,5.0,,
