Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL
49192,LOEWE,Loewe CONNECT 42 FHD 100 68436T72,"Australia,New Zealand",Germany,107.0,4982.0,LCD,0.75,1.0,31.0,180.0,2.5,2.891,680.0,Approved,2015-03-07,,Single product class,Unavailable,1.32888833303,,http://www.loewe-int.de/en/
49192,LOEWE,Loewe CONNECT 42 FHD 100 68436U72,"Australia,New Zealand",Germany,107.0,4982.0,LCD,0.75,1.0,31.0,180.0,2.5,2.891,680.0,Approved,2015-03-07,,Single product class,Unavailable,1.32888833303,,http://www.loewe-int.de/en/
49192,LOEWE,Loewe CONNECT 42 FHD 100 68436W72,"Australia,New Zealand",Germany,107.0,4982.0,LCD,0.75,1.0,31.0,180.0,2.5,2.891,680.0,Approved,2015-03-07,,Single product class,Unavailable,1.32888833303,,http://www.loewe-int.de/en/
49191,LOEWE,Loewe CONNECT 42 FHD 100 68436T70,"Australia,New Zealand",Germany,107.0,4982.0,LCD,0.75,1.0,31.0,171.0,3.0,3.093,650.0,Approved,2015-03-07,,Single product class,Unavailable,1.53109195941,,http://www.loewe-int.de/en/
49191,LOEWE,Loewe CONNECT 42 FHD 100 68436U70,"Australia,New Zealand",Germany,107.0,4982.0,LCD,0.75,1.0,31.0,171.0,3.0,3.093,650.0,Approved,2015-03-07,,Single product class,Unavailable,1.53109195941,,http://www.loewe-int.de/en/
49191,LOEWE,Loewe CONNECT 42 FHD 100 68436W70,"Australia,New Zealand",Germany,107.0,4982.0,LCD,0.75,1.0,31.0,171.0,3.0,3.093,650.0,Approved,2015-03-07,,Single product class,Unavailable,1.53109195941,,http://www.loewe-int.de/en/
49181,LOEWE,Loewe CONNECT 32 FHD 100 68417T80,"Australia,New Zealand",Germany,80.0,2800.0,LCD,0.95,1.0,30.0,119.0,2.5,2.52,455.0,Approved,2015-03-07,,Single product class,Unavailable,0.957844435544,,http://www.loewe-int.de/en/
49181,LOEWE,Loewe CONNECT 32 FHD 100 68417U80,"Australia,New Zealand",Germany,80.0,2800.0,LCD,0.95,1.0,30.0,119.0,2.5,2.52,455.0,Approved,2015-03-07,,Single product class,Unavailable,0.957844435544,,http://www.loewe-int.de/en/
49181,LOEWE,Loewe CONNECT 32 FHD 100 68417W80,"Australia,New Zealand",Germany,80.0,2800.0,LCD,0.95,1.0,30.0,119.0,2.5,2.52,455.0,Approved,2015-03-07,,Single product class,Unavailable,0.957844435544,,http://www.loewe-int.de/en/
49180,LOEWE,Loewe CONNECT MEDIA  37 FHD 100 DR+ 68435T32,"Australia,New Zealand",Germany,94.0,3901.0,LCD,1.0,1.0,38.0,138.0,2.5,2.896,550.0,Approved,2015-03-07,,Single product class,Unavailable,1.33393281509,,http://www.loewe-int.de/en/
49180,LOEWE,Loewe CONNECT MEDIA 37  FHD 100 DR+ 68435U32,"Australia,New Zealand",Germany,94.0,3901.0,LCD,1.0,1.0,38.0,138.0,2.5,2.896,550.0,Approved,2015-03-07,,Single product class,Unavailable,1.33393281509,,http://www.loewe-int.de/en/
